52,47,60,56,44,58,54,56,61,56,57,52,55,53,57,51,60,47,49,68,61,72,76,57,48,58,44
52,47,53,59,56,71,62,44,43,56,51,50,57,50,55,50,54,59,27,37,51,70,49,63,54,53,40
62,62,63,62,49,68,55,69,60,63,65,67,54,62,65,66,60,61,72,76,43,55,59,72,71,64,58
60,57,63,63,56,58,62,56,66,64,57,64,61,58,66,58,65,60,76,73,59,58,64,55,72,63,54
47,55,53,25,35,52,35,70,54,21,54,41,55,50,45,39,63,42,43,41,61,50,69,15,55,51,42
53,49,52,66,61,55,80,40,50,59,58,54,53,57,45,59,49,69,54,51,44,57,27,20,52,59,42
69,73,64,63,70,74,78,76,59,56,66,70,70,71,70,64,74,74,69,76,58,72,77,70,48,68,71
48,49,50,50,28,43,67,63,54,43,50,50,53,58,37,48,53,45,51,63,56,41,62,55,50,51,46
56,66,55,43,63,46,34,68,60,47,62,58,50,50,65,51,66,52,67,60,51,40,68,48,62,61,37
51,57,45,56,56,33,58,56,54,55,58,46,55,52,51,52,52,47,46,73,34,72,37,63,61,53,45
